student_id,gender,age,attendance_rate,assignment_score,quiz_score,exam_score,study_hours_per_week,parental_education_level,health_status,electricity_access,internet_access,performance_label
STD0138,Male,23,66.16,62.49,59.04,33.57,10.1,Secondary,Fair,True,True,Low
STD0139,Male,24,98.65,68.44,58.16,73.23,0.1,Secondary,Fair,False,False,Medium
STD0140,Male,16,79.01,66.65,57.34,44.54,21.2,Tertiary,Fair,True,False,Medium
STD0141,Female,15,62.71,99.69,34.85,71.14,9.5,None,Good,False,False,Medium
STD0142,Male,24,76.09,72.72,74.68,37.87,12.4,Tertiary,Good,False,True,Medium
STD0143,Female,23,67.13,45.29,81.31,53.24,0.2,Tertiary,Good,True,False,Medium
STD0144,Female,24,76.61,76.41,77.33,84.71,12.3,None,Good,False,False,High
STD0145,Female,23,56.29,49.1,39.69,60.59,24.7,Primary,Fair,False,False,Medium
STD0146,Male,23,56.64,41.86,70.52,73.94,7.0,None,Poor,False,True,Medium
STD0147,Male,20,57.18,98.24,69.86,75.32,9.9,Secondary,Poor,True,False,High
STD0148,Male,22,96.99,86.41,90.79,89.06,17.2,None,Fair,False,False,High
STD0149,Male,15,86.64,98.81,56.54,52.74,20.4,Primary,Fair,True,False,Medium
STD0150,Female,24,58.12,68.67,56.0,78.11,10.4,Tertiary,Poor,True,True,Medium
STD0151,Male,18,59.42,71.94,73.3,97.31,7.7,Tertiary,Poor,False,False,High
STD0152,Male,15,86.54,50.1,74.32,81.12,23.4,Secondary,Fair,True,False,Medium
STD0153,Male,22,57.81,54.81,62.85,64.29,16.9,Secondary,Fair,False,True,Medium
STD0154,Male,15,61.73,90.31,61.01,74.15,3.0,Secondary,Good,True,True,High
STD0155,Male,17,98.17,61.37,64.59,81.78,1.7,Tertiary,Good,False,False,Medium
STD0156,Female,18,62.77,89.61,90.27,72.86,12.1,Secondary,Poor,True,False,High
STD0157,Male,22,83.08,82.54,62.28,31.17,5.5,None,Fair,False,False,Medium
STD0158,Female,20,98.93,50.63,95.8,43.63,6.3,Tertiary,Poor,False,True,Medium
STD0159,Male,24,68.71,70.45,65.28,86.73,21.9,Primary,Good,False,True,High
STD0160,Female,21,50.88,80.64,96.44,49.09,2.2,Tertiary,Good,False,False,Medium
STD0161,Male,22,62.21,54.1,88.3,81.21,17.9,None,Poor,True,True,High
STD0162,Male,16,91.54,89.84,55.37,56.05,6.8,None,Good,True,False,Medium
STD0163,Female,24,93.23,72.69,90.45,66.53,19.0,Secondary,Fair,False,False,High
STD0164,Female,22,88.43,49.91,37.7,34.76,18.1,Tertiary,Poor,True,True,Low
STD0165,Female,17,55.66,74.98,94.75,42.69,0.2,Tertiary,Fair,False,False,Medium
STD0166,Male,21,89.78,99.98,74.22,97.0,12.7,Tertiary,Fair,False,True,High
STD0167,Female,17,95.93,49.03,33.81,92.31,3.5,Primary,Good,True,True,Medium
STD0168,Male,21,80.03,89.01,75.1,75.66,21.7,Secondary,Fair,True,False,High
STD0169,Male,16,97.04,52.44,98.2,62.18,21.8,None,Poor,False,True,Medium
STD0170,Female,24,91.34,86.94,34.89,77.3,10.5,None,Fair,True,False,Medium
STD0171,Female,20,83.35,84.07,68.83,73.3,11.1,Secondary,Fair,False,True,High
STD0172,Male,17,78.86,58.03,82.35,69.8,7.6,None,Fair,True,False,Medium
STD0173,Male,17,67.43,59.55,86.72,34.14,17.9,None,Fair,True,False,Medium
STD0174,Female,23,57.96,87.55,58.97,74.3,9.0,Secondary,Fair,True,False,Medium
STD0175,Female,21,80.25,67.69,44.29,83.82,6.7,None,Good,True,True,Medium
STD0176,Female,19,65.91,83.85,32.96,99.59,10.8,Tertiary,Poor,True,False,Medium
STD0177,Male,24,93.32,48.88,70.58,30.78,2.3,Primary,Good,False,True,Low
STD0178,Male,21,99.67,91.15,61.7,81.11,18.7,Secondary,Poor,True,True,High
STD0179,Male,23,87.62,82.65,96.41,70.03,0.3,Primary,Poor,True,True,High
STD0180,Male,15,54.52,94.42,34.24,60.38,16.1,None,Poor,False,True,Medium
STD0181,Male,21,64.43,47.94,77.98,38.93,4.6,None,Poor,False,True,Medium
STD0182,Male,20,55.46,75.58,31.75,58.64,5.8,Tertiary,Poor,False,False,Medium
STD0183,Female,24,82.53,75.95,42.0,54.81,15.9,Secondary,Fair,True,True,Medium
STD0184,Male,23,88.26,61.21,61.75,51.2,24.8,None,Good,True,False,Medium
STD0185,Male,15,96.28,67.51,61.84,81.16,19.4,Secondary,Good,False,False,Medium
STD0186,Male,18,71.91,42.28,78.0,79.05,5.6,Secondary,Fair,False,True,Medium
STD0187,Female,23,95.07,84.75,93.71,71.23,4.4,Secondary,Poor,False,False,High
STD0188,Male,18,93.89,72.96,74.73,95.71,21.7,Secondary,Good,False,False,High
STD0189,Male,24,65.86,43.46,96.75,54.49,11.1,Secondary,Fair,True,True,Medium
STD0190,Female,17,93.45,80.85,91.71,47.07,3.4,Primary,Fair,True,False,Medium
STD0191,Male,23,68.78,68.01,70.91,75.91,21.6,Tertiary,Good,True,True,Medium
STD0192,Male,16,64.84,42.07,88.37,43.92,20.4,Secondary,Good,True,True,Medium
STD0193,Male,18,82.45,98.18,74.98,52.05,24.6,Primary,Poor,True,True,Medium
STD0194,Male,20,66.42,96.95,35.5,45.72,22.7,None,Poor,False,False,Medium
STD0195,Male,16,81.51,70.77,81.84,34.84,21.3,Secondary,Good,True,False,Medium
STD0196,Female,22,80.49,45.62,36.64,87.92,1.3,None,Poor,False,False,Medium
STD0197,Female,22,78.17,85.28,71.59,47.82,2.6,Secondary,Fair,False,False,Medium
STD0198,Female,15,69.02,69.52,79.18,63.11,14.2,Primary,Poor,False,True,Medium
STD0199,Male,17,77.42,58.15,34.66,33.03,13.3,Primary,Poor,True,True,Low
STD0200,Male,24,79.82,69.49,46.16,78.95,11.4,Primary,Fair,False,False,Medium
STD0201,Male,23,77.28,71.35,94.1,53.14,9.9,Tertiary,Poor,True,True,Medium
STD0202,Female,19,72.22,73.76,73.14,82.13,10.8,None,Fair,False,False,High
STD0203,Male,20,50.73,66.47,47.24,58.87,14.2,Tertiary,Poor,True,True,Medium
STD0204,Male,18,79.35,76.35,78.35,43.7,0.1,Secondary,Good,False,True,Medium
STD0205,Female,24,58.42,95.12,71.77,65.92,6.5,None,Poor,True,True,High
STD0206,Male,16,82.13,61.74,65.11,39.14,13.0,Primary,Good,False,True,Medium
STD0207,Female,22,87.97,83.54,98.33,60.84,18.1,None,Good,False,True,High
STD0208,Female,20,75.02,93.67,77.84,52.21,4.4,Primary,Good,False,False,Medium
STD0209,Female,19,77.12,67.36,56.28,93.84,13.7,Tertiary,Good,False,False,Medium
STD0210,Male,23,97.57,66.61,86.01,34.27,17.9,Tertiary,Good,True,True,Medium
STD0211,Male,15,92.36,76.13,91.92,78.58,11.1,Primary,Fair,True,False,High
STD0212,Male,19,95.71,75.48,38.77,42.79,0.7,Primary,Fair,True,True,Medium
STD0213,Male,20,90.69,88.4,44.04,52.33,11.2,Secondary,Fair,False,True,Medium
STD0214,Male,19,55.45,68.59,45.14,59.09,7.4,Tertiary,Good,False,True,Medium
STD0215,Male,20,57.45,99.77,78.38,93.56,23.2,Tertiary,Poor,False,True,High
STD0216,Male,20,76.33,43.57,72.21,46.98,3.1,Secondary,Fair,False,False,Medium
STD0217,Female,21,62.3,40.19,73.33,36.39,16.3,Tertiary,Poor,False,True,Low
STD0218,Male,18,73.83,78.41,95.85,52.31,1.3,Primary,Poor,False,False,Medium
STD0219,Female,22,69.72,57.91,84.31,37.33,11.2,None,Good,True,True,Medium
STD0220,Male,21,77.47,54.42,38.96,39.0,13.8,None,Good,True,True,Low
STD0221,Male,23,87.34,58.71,54.33,70.17,7.4,Tertiary,Good,True,False,Medium
STD0222,Male,21,85.77,55.36,60.48,34.26,11.4,Secondary,Fair,True,True,Low
STD0223,Female,17,76.06,41.85,57.72,32.17,4.1,Primary,Good,True,True,Low
STD0224,Female,17,91.12,98.29,76.85,80.01,7.6,None,Fair,True,False,High
STD0225,Female,22,71.54,53.24,92.43,55.32,15.5,Primary,Fair,True,False,Medium
STD0226,Female,19,94.84,84.04,51.42,38.78,7.5,Tertiary,Fair,True,False,Medium
STD0227,Male,18,53.56,85.76,68.63,47.75,22.5,Tertiary,Fair,False,True,Medium
STD0228,Female,22,97.73,95.76,85.26,74.95,15.7,None,Good,False,True,High
STD0229,Male,20,82.73,41.83,59.14,49.29,11.0,Tertiary,Fair,False,False,Medium
STD0230,Male,16,69.0,92.32,41.77,64.62,1.0,Secondary,Good,False,False,Medium
STD0231,Female,18,59.86,71.63,63.25,38.52,12.5,Tertiary,Good,False,True,Medium
STD0232,Female,18,73.96,77.95,33.87,71.17,19.1,Tertiary,Fair,False,True,Medium
STD0233,Female,20,59.73,78.67,95.97,52.13,6.6,Tertiary,Good,False,False,Medium
STD0234,Female,20,58.32,89.19,35.24,73.89,20.2,Primary,Poor,True,False,Medium
STD0235,Female,15,80.87,60.0,60.69,86.59,6.3,Primary,Good,True,False,Medium
STD0236,Female,22,76.15,83.98,67.09,72.82,20.6,None,Good,False,False,Medium
STD0237,Female,20,83.5,71.71,98.97,50.7,2.1,None,Fair,True,True,Medium
STD0238,Female,17,96.48,87.6,41.62,47.9,21.7,None,Fair,True,True,Medium
STD0239,Male,23,76.61,99.43,38.01,52.92,12.5,Tertiary,Good,True,True,Medium
STD0240,Female,16,79.05,52.04,30.61,41.52,7.4,Primary,Fair,True,True,Low
STD0241,Female,22,54.48,99.68,40.89,42.68,6.6,Secondary,Poor,True,False,Medium
STD0242,Male,24,85.88,45.39,44.51,85.35,10.8,Tertiary,Poor,False,True,Medium
STD0243,Female,17,70.0,40.14,74.14,56.93,25.0,Tertiary,Fair,True,False,Medium
STD0244,Male,19,98.84,42.65,45.38,60.52,5.5,Tertiary,Good,False,True,Medium
STD0245,Male,20,91.16,60.51,31.44,71.58,2.6,Secondary,Poor,False,True,Medium
STD0246,Female,24,76.12,77.97,87.86,71.28,14.6,None,Poor,False,True,High
STD0247,Male,20,56.16,44.14,55.59,34.72,12.2,Secondary,Good,True,False,Low
STD0248,Male,18,92.97,40.34,54.76,88.21,13.1,None,Fair,False,True,Medium
STD0249,Male,17,89.99,96.23,51.17,42.41,16.7,Secondary,Poor,False,False,Medium
STD0250,Male,18,59.23,89.32,98.28,80.62,6.7,Primary,Good,False,False,High
STD0251,Female,15,64.76,88.55,41.91,84.09,22.8,Tertiary,Good,False,True,Medium
STD0252,Male,18,89.67,93.07,92.88,80.04,10.9,Tertiary,Poor,True,False,High
STD0253,Female,15,59.26,82.0,84.38,70.53,3.2,Tertiary,Fair,False,True,High
STD0254,Male,15,95.89,46.26,35.35,31.02,18.6,None,Poor,False,False,Low
STD0255,Male,24,71.23,63.95,99.07,55.23,16.1,Secondary,Good,False,True,Medium
STD0256,Male,20,54.35,83.39,49.0,72.34,7.9,Primary,Poor,False,False,Medium
STD0257,Male,19,90.79,56.82,36.9,57.12,15.5,Secondary,Fair,True,False,Medium
STD0258,Female,18,68.68,81.24,88.05,90.44,5.5,Tertiary,Good,False,True,High
STD0259,Female,17,76.32,41.47,79.47,51.62,11.1,Primary,Fair,False,True,Medium
STD0260,Male,15,55.62,58.37,73.21,50.55,22.5,Primary,Poor,False,True,Medium
STD0261,Male,20,50.13,72.95,40.92,48.62,3.3,Tertiary,Poor,False,True,Medium
STD0262,Female,16,81.9,77.93,63.49,53.29,9.7,Secondary,Fair,False,False,Medium
STD0263,Male,22,75.76,74.62,84.64,69.02,20.5,Tertiary,Poor,False,False,High
STD0264,Male,24,79.68,81.87,51.25,79.49,24.2,Secondary,Fair,True,False,Medium
STD0265,Male,19,89.69,40.37,51.82,76.38,11.3,Primary,Poor,False,False,Medium
STD0266,Female,21,82.33,46.06,30.22,86.54,12.7,Primary,Fair,True,True,Medium
STD0267,Female,24,58.74,92.14,42.2,92.01,14.3,Tertiary,Fair,True,False,High
STD0268,Female,16,68.04,80.9,91.28,87.13,23.3,Primary,Good,False,True,High
STD0269,Male,22,95.29,46.78,60.92,31.33,21.5,None,Good,True,False,Low
STD0270,Male,16,88.5,90.52,98.9,81.51,4.3,Primary,Fair,False,True,High
STD0271,Female,18,77.83,54.53,57.7,44.59,10.9,None,Poor,True,True,Medium
STD0272,Female,15,62.78,68.7,80.06,39.3,11.6,Primary,Poor,False,True,Medium
STD0273,Female,19,65.1,48.71,49.73,74.69,19.7,Tertiary,Poor,True,True,Medium
STD0274,Female,23,86.6,82.61,55.47,52.38,15.1,Tertiary,Fair,True,True,Medium
STD0275,Male,15,92.56,80.01,43.35,34.0,16.4,None,Fair,False,False,Medium
STD0276,Female,23,83.57,52.67,54.29,39.63,25.0,Tertiary,Fair,True,True,Low
STD0277,Male,22,90.48,91.8,68.31,30.07,1.9,Primary,Fair,True,False,Medium
STD0278,Female,20,88.33,64.08,99.42,93.23,5.6,Primary,Good,True,False,High
STD0279,Male,21,57.49,57.55,76.49,31.72,10.2,Tertiary,Fair,True,True,Medium
STD0280,Female,17,71.2,49.14,43.95,44.66,8.7,Primary,Poor,True,False,Low
STD0281,Female,15,57.65,55.97,33.15,59.14,0.5,Secondary,Good,False,False,Medium
STD0282,Female,19,61.76,41.32,38.84,54.96,2.3,Secondary,Poor,True,False,Low
STD0283,Female,16,93.46,75.0,69.38,93.82,17.0,Primary,Fair,True,True,High
STD0284,Male,19,73.64,90.53,83.56,32.82,22.0,Tertiary,Good,False,True,Medium
STD0285,Female,22,76.77,72.94,95.83,65.86,12.9,None,Fair,False,True,High
STD0286,Male,23,58.92,53.16,31.11,77.63,13.5,Tertiary,Good,False,True,Medium
STD0287,Male,16,65.61,42.02,66.59,95.22,6.4,None,Poor,True,False,Medium
STD0288,Male,17,61.51,52.88,62.96,73.43,19.2,Tertiary,Fair,True,False,Medium
STD0289,Male,17,60.31,64.97,75.92,86.26,18.8,Primary,Fair,True,False,High
STD0290,Female,15,81.9,85.58,69.17,35.86,14.7,Secondary,Good,True,False,Medium
STD0291,Male,22,62.84,51.27,78.09,57.02,5.3,Tertiary,Good,False,False,Medium
STD0292,Male,20,81.6,83.19,76.07,56.18,2.4,None,Fair,False,False,Medium
STD0293,Male,22,52.92,92.02,38.19,92.04,1.6,Secondary,Good,True,True,High
STD0294,Female,23,57.09,67.24,85.98,40.6,14.8,None,Fair,True,False,Medium
STD0295,Female,19,63.73,89.29,38.63,40.63,20.6,Primary,Good,True,False,Medium
STD0296,Female,17,79.85,73.28,78.9,53.0,21.5,Secondary,Poor,True,False,Medium
STD0297,Female,19,83.79,78.23,59.13,33.81,11.6,None,Good,False,True,Medium
STD0298,Male,19,72.14,71.58,65.97,42.77,19.6,Tertiary,Poor,False,False,Medium
STD0299,Male,19,72.29,67.79,93.23,97.56,23.7,Primary,Good,True,False,High
STD0300,Female,17,86.23,54.08,92.29,59.97,6.9,Primary,Good,False,True,Medium
STD0301,Male,24,50.79,58.19,87.25,74.24,9.9,Primary,Fair,True,False,Medium
STD0302,Male,18,67.05,57.4,65.71,80.83,23.3,Tertiary,Good,True,True,Medium
STD0303,Male,23,90.94,73.8,81.54,55.69,8.5,Tertiary,Good,False,True,Medium
STD0304,Female,24,80.16,47.2,65.9,40.31,22.8,Secondary,Poor,True,False,Medium
STD0305,Female,23,66.86,95.01,90.87,44.46,24.5,Tertiary,Good,False,False,Medium
